U.S. Census Bureau, Trade in Goods with Canada. Figures in millions of U.S. dollars, nominal, not seasonally adjusted. Saved from census.gov/foreign-trade/balance/c1220.html.
April 2006	19,102.5	24,836.8	-5,734.3
May 2006	20,489.6	26,459.0	-5,969.4
June 2006	20,874.7	26,544.2	-5,669.5
July 2006	16,621.1	22,926.6	-6,305.5
August 2006	20,287.5	26,299.2	-6,011.7
September 2006	19,249.1	24,966.3	-5,717.3
October 2006	19,975.2	25,080.8	-5,105.5
November 2006	19,730.0	25,242.0	-5,512.0
December 2006	17,980.9	23,889.4	-5,908.5
TOTAL 2006	230,656.0	302,437.9	-71,781.8
January 2005	15,568.4	21,839.5	-6,271.1
February 2005	16,092.3	21,502.5	-5,410.3
March 2005	18,919.8	24,009.5	-5,089.7
April 2005	18,105.2	23,458.0	-5,352.7
May 2005	18,327.1	23,527.7	-5,200.6
June 2005	18,684.5	23,672.2	-4,987.8
July 2005	14,719.6	21,087.3	-6,367.7
August 2005	18,250.1	25,041.3	-6,791.1
September 2005	18,368.3	25,949.9	-7,581.7
October 2005	18,746.5	27,725.0	-8,978.5
November 2005	18,417.3	26,382.7	-7,965.4
December 2005	17,699.6	26,188.6	-8,489.0
TOTAL 2005	211,898.7	290,384.3	-78,485.6
January 2004	13,315.8	18,925.8	-5,609.9
February 2004	14,398.6	19,356.6	-4,958.0
March 2004	17,227.0	22,483.2	-5,256.2
April 2004	16,027.0	21,498.6	-5,471.7
May 2004	16,311.4	21,250.1	-4,938.7
June 2004	16,433.1	23,250.8	-6,817.8
July 2004	13,863.8	19,776.5	-5,912.7
August 2004	16,069.5	22,018.3	-5,948.8
September 2004	16,633.1	21,688.1	-5,055.0
October 2004	16,969.4	22,410.9	-5,441.5
November 2004	16,675.5	22,875.5	-6,200.0
December 2004	15,955.6	20,825.5	-4,869.9
TOTAL 2004	189,879.9	256,359.8	-66,480.0
January 2003	12,889.7	17,735.2	-4,845.5
February 2003	13,292.6	17,183.5	-3,890.9
March 2003	15,359.6	19,822.5	-4,462.9
April 2003	14,646.4	18,454.4	-3,808.0
May 2003	15,208.0	18,667.9	-3,459.9
June 2003	15,003.2	18,574.3	-3,571.1
July 2003	12,029.5	17,079.4	-5,049.8
August 2003	12,989.7	17,584.3	-4,594.6
September 2003	14,518.1	19,360.8	-4,842.7
October 2003	15,554.6	20,137.7	-4,583.1
November 2003	14,598.2	18,640.5	-4,042.3
December 2003	13,834.0	18,354.2	-4,520.2
TOTAL 2003	169,923.7	221,594.7	-51,671.0
January 2002	12,061.5	16,335.1	-4,273.6
February 2002	12,368.2	16,179.5	-3,811.3
March 2002	13,954.0	17,481.1	-3,527.1
April 2002	14,113.5	18,185.8	-4,072.3
May 2002	14,586.2	18,793.5	-4,207.3
June 2002	14,213.7	17,436.2	-3,222.5
July 2002	11,607.2	15,910.8	-4,303.6
